lineage,file_name,strain_isolate_name,bvbrc_genome_id,assembly_accession,country_region,collection_year,assembly_status
Lineage_1,lineage 1.1.fasta,,,,,,
Lineage_1,lineage 1.2.fasta,,,,,,
Lineage_1,lineage 1.3.fasta,,,,,,
Lineage_1,lineage 1.4.fasta,,,,,,
Lineage_1,lineage 1.5.fasta,,,,,,
Lineage_2,lineage 2.1.fasta,,,,,,
Lineage_2,lineage 2.2.fasta,,,,,,
Lineage_2,lineage 2.3.fasta,,,,,,
Lineage_2,lineage 2.4.fasta,,,,,,
Lineage_2,lineage 2.5.fasta,,,,,,
Lineage_3,lineage 3.1.fasta,,,,,,
Lineage_3,lineage 3.2.fasta,,,,,,
Lineage_3,lineage 3.3.fasta,,,,,,
Lineage_3,lineage 3.4.fasta,,,,,,
Lineage_3,lineage 3.5.fasta,,,,,,
Lineage_4,lineage 4.1.fasta,,,,,,
Lineage_4,lineage 4.2.fasta,,,,,,
Lineage_4,lineage 4.3.fasta,,,,,,
